Province,ProvinceCode,District,DistrictCode,FullName,Lat,Lon
Samsun,55,19 Mayıs,1830,"19 Mayıs, Samsun",41.367220,36.198500
Kastamonu,37,Abana,1101,"Abana, Kastamonu",41.952571,34.076700
Nevşehir,50,Acıgöl,1749,"Acıgöl, Nevşehir",38.541111,34.620300
Denizli,20,Acıpayam,1102,"Acıpayam, Denizli",37.426385,29.351100
Bingöl,12,Adaklı,1750,"Adaklı, Bingöl",39.253708,40.587900
İstanbul,34,Adalar,1103,"Adalar, İstanbul",40.874093,29.089900
Sakarya,54,Adapazarı,2068,"Adapazarı, Sakarya",40.788855,30.406000
Bitlis,13,Adilcevaz,1106,"Adilcevaz, Bitlis",38.804925,42.736500
Adıyaman,2,Adıyaman Merkez,1105,"Adıyaman Merkez, Adıyaman",37.763650,38.277300
Kahramanmaraş,46,Afşin,1107,"Afşin, Kahramanmaraş",38.243802,36.914700
Afyonkarahisar,3,Afyonkarahisar Merkez,1108,"Afyonkarahisar Merkez, Afyonkarahisar",38.756885,30.538700
Aksaray,68,Ağaçören,1860,"Ağaçören, Aksaray",38.868998,33.914100
Elazığ,23,Ağın,1110,"Ağın, Elazığ",38.953195,38.673700
Burdur,15,Ağlasun,1109,"Ağlasun, Burdur",37.602238,30.597000
Kastamonu,37,Ağlı,1867,"Ağlı, Kastamonu",41.699557,33.582400
Ağrı,4,Ağrı Merkez,1111,"Ağrı Merkez, Ağrı",39.719074,43.050600
Konya,42,Ahırlı,1868,"Ahırlı, Konya",37.235553,32.106500
Bitlis,13,Ahlat,1112,"Ahlat, Bitlis",38.755285,42.487100
Manisa,45,Ahmetli,1751,"Ahmetli, Manisa",38.516381,27.938000
Trabzon,61,Akçaabat,1113,"Akçaabat, Trabzon",41.022042,39.570900
Malatya,44,Akçadağ,1114,"Akçadağ, Malatya",38.388353,37.796100
Şanlıurfa,63,Akçakale,1115,"Akçakale, Şanlıurfa",36.713349,38.948400
Kırşehir,40,Akçakent,1869,"Akçakent, Kırşehir",39.587263,34.108700
Düzce,81,Akçakoca,1116,"Akçakoca, Düzce",41.088181,31.124000
Yozgat,66,Akdağmadeni,1117,"Akdağmadeni, Yozgat",39.660180,35.882300
Mersin,33,Akdeniz,2064,"Akdeniz, Mersin",36.868824,34.707800
Manisa,45,Akhisar,1118,"Akhisar, Manisa",38.917664,27.836600
Sivas,58,Akıncılar,1870,"Akıncılar, Sivas",40.078944,38.346400
Kayseri,38,Akkışla,1752,"Akkışla, Kayseri",38.993421,36.200000
Ordu,52,Akkuş,1119,"Akkuş, Ordu",40.791322,37.018300
Konya,42,Akören,1753,"Akören, Konya",37.452598,32.371100
Kırşehir,40,Akpınar,1754,"Akpınar, Kırşehir",39.499477,33.930400
Aksaray,68,Aksaray Merkez,1120,"Aksaray Merkez, Aksaray",38.368626,34.029700
Konya,42,Akşehir,1122,"Akşehir, Konya",38.360258,31.418000
Antalya,7,Akseki,1121,"Akseki, Antalya",37.087300,31.765100
Antalya,7,Aksu / Antalya,2035,"Aksu / Antalya, Antalya",36.947597,30.850200
Isparta,32,Aksu / Isparta,1755,"Aksu / Isparta, Isparta",37.799251,31.069600
Kars,36,Akyaka,1756,"Akyaka, Kars",40.771775,43.646200
Sakarya,54,Akyazı,1123,"Akyazı, Sakarya",40.683486,30.624900
Ankara,6,Akyurt,1872,"Akyurt, Ankara",40.132957,33.114600
Çorum,19,Alaca,1124,"Alaca, Çorum",40.192970,34.836700
Elazığ,23,Alacakaya,1873,"Alacakaya, Elazığ",38.461835,39.861700
Samsun,55,Alaçam,1125,"Alaçam, Samsun",41.604294,35.598600
Adana,1,Aladağ,1757,"Aladağ, Adana",37.545348,35.394600
Antalya,7,Alanya,1126,"Alanya, Antalya",36.544443,31.995400
Zonguldak,67,Alaplı,1758,"Alaplı, Zonguldak",41.182690,31.384500
Manisa,45,Alaşehir,1127,"Alaşehir, Manisa",38.354458,28.516500
İzmir,35,Aliağa,1128,"Aliağa, İzmir",38.799561,26.970700
Tokat,60,Almus,1129,"Almus, Tokat",40.376064,36.903500
Eskişehir,26,Alpu,1759,"Alpu, Eskişehir",39.813104,31.033500
Balıkesir,10,Altıeylül,2077,"Altıeylül, Balıkesir",39.555903,27.878000
Ankara,6,Altındağ,1130,"Altındağ, Ankara",40.009268,32.983300
Konya,42,Altınekin,1760,"Altınekin, Konya",38.308274,32.868900
Ordu,52,Altınordu,2103,"Altınordu, Ordu",40.986166,37.879700
Yalova,77,Altınova,2019,"Altınova, Yalova",40.643074,29.476000
Hatay,31,Altınözü,1131,"Altınözü, Hatay",36.077272,36.306500
Kütahya,43,Altıntaş,1132,"Altıntaş, Kütahya",39.057997,30.108600
Burdur,15,Altınyayla / Burdur,1874,"Altınyayla / Burdur, Burdur",36.997551,29.544600
Sivas,58,Altınyayla / Sivas,1875,"Altınyayla / Sivas, Sivas",39.251240,36.758000
Niğde,51,Altunhisar,1876,"Altunhisar, Niğde",37.997985,34.371200
Giresun,28,Alucra,1133,"Alucra, Giresun",40.369084,38.801000
Bartın,74,Amasra,1761,"Amasra, Bartın",41.747021,32.385500
Amasya,5,Amasya Merkez,1134,"Amasya Merkez, Amasya",40.656455,35.837300
Mersin,33,Anamur,1135,"Anamur, Mersin",36.077286,32.832900
Kahramanmaraş,46,Andırın,1136,"Andırın, Kahramanmaraş",37.575718,36.349800
Hatay,31,Antakya,2080,"Antakya, Hatay",36.196803,36.161200
Antalya,7,Antalya Merkez,1138,"Antalya Merkez, Antalya",36.921000,30.785400
Gaziantep,27,Araban,1139,"Araban, Gaziantep",37.425370,37.689600
Kastamonu,37,Araç,1140,"Araç, Kastamonu",41.242642,33.328500
Trabzon,61,Araklı,1141,"Araklı, Trabzon",40.939716,40.055200
Iğdır,76,Aralık,1142,"Aralık, Iğdır",39.873902,44.516100
Malatya,44,Arapgir,1143,"Arapgir, Malatya",39.042835,38.488400
Ardahan,75,Ardahan Merkez,1144,"Ardahan Merkez, Ardahan",41.112950,42.702300
Artvin,8,Ardanuç,1145,"Ardanuç, Artvin",41.093738,42.187600
Rize,53,Ardeşen,1146,"Ardeşen, Rize",41.191782,40.989100
Malatya,44,Arguvan,1148,"Arguvan, Malatya",38.824114,38.288800
Artvin,8,Arhavi,1147,"Arhavi, Artvin",41.353055,41.309000
Elazığ,23,Arıcak,1762,"Arıcak, Elazığ",38.551071,40.095700
Sakarya,54,Arifiye,2069,"Arifiye, Sakarya",40.695581,30.366600
Yalova,77,Armutlu,2020,"Armutlu, Yalova",40.518842,28.829400
İstanbul,34,Arnavutköy,2048,"Arnavutköy, İstanbul",41.238421,28.626500
Kars,36,Arpaçay,1149,"Arpaçay, Kars",40.846747,43.332100
Trabzon,61,Arsin,1150,"Arsin, Trabzon",40.953956,39.937200
Hatay,31,Arsuz,2081,"Arsuz, Hatay",36.416667,35.883300
Tokat,60,Artova,1151,"Artova, Tokat",40.117964,36.301400
Mardin,47,Artuklu,2088,"Artuklu, Mardin",37.423615,40.690000
Artvin,8,Artvin Merkez,1152,"Artvin Merkez, Artvin",41.180937,41.820800
Samsun,55,Asarcık,1763,"Asarcık, Samsun",41.037123,36.235000
Erzurum,25,Aşkale,1153,"Aşkale, Erzurum",39.920188,40.694700
Kütahya,43,Aslanapa,1764,"Aslanapa, Kütahya",39.179419,29.835200
Isparta,32,Atabey,1154,"Atabey, Isparta",37.974833,30.643000
Samsun,55,Atakum,2072,"Atakum, Samsun",41.279703,36.336100
İstanbul,34,Ataşehir,2049,"Ataşehir, İstanbul",40.983333,29.127800
